facility,valid_days,training_daily_mean,training_coverage,eligible,selection_hash,selected
335257,275,350.6372727272727,1.0,True,b692913bec68fcc0f9619ae1d1db7f7ac56f53ac2be5eadabc72f8ff9e0b2ffc,False
335259,275,0.6245454545454545,1.0,True,3a809c5d6122dc27767de019cf49a2eaea231b44861f38460030d1930dba7b0c,False
335261,275,47.74069090909091,1.0,True,a85a698c136ee6351b185f5874338e8d569ecec737b10b2088a2de57cf345d1b,False
335263,184,3.655869565217391,0.6690909090909091,False,be3e2702d779a6ecd9d89b6a9fe9ae69bea336f0fd832b602ad8f6b40ba9fb2d,False
335265,275,150.3068,1.0,True,27089a0159247d80d6b1afaff002d96629c70985f7b845230e699c017f74b977,False
335266,275,323.0718181818182,1.0,True,0f67d445b0f6e923325aaf27057be7be5718320ea103c51a7eaefe9f57dbc5c3,True
335267,275,0.0,1.0,True,cf50ac0ff33fae68108698a7e3eb71a9ec40807316727856f628ec03ef22d52a,False
335269,275,0.0,1.0,True,08ebd5bfae60936c55e4c8f7bb0cdb319b0e9f16331b75265599378acd635cf8,True
335271,275,5.571090909090909,1.0,True,a07dd1b3f27281a4955da721f93bcf7fa30b98ccac8951e740165fbaa74a4a46,False
335273,275,183.37254545454545,1.0,True,b995fd9338f7d37617849f76367780cd63fde4c35a3942f0953fae653efb924b,False
335274,275,59.08567272727272,1.0,True,c02ff6eb1317c49d1ae345ba281c9ea9a34d50b0e502e6e59c0e4a60e406fae9,False
335275,275,0.0,1.0,True,604a7b6bf0c074bcd8fe5c906de8b648a4825e7c7d509933f1f8c850cc325003,False
335279,275,0.0,1.0,True,305bc0f094cd20a9e6871f44673f530cb318942751ad72b8c222a1f9c30a005a,False
335280,275,1.010909090909091,1.0,True,dffdd77ac3951c1b403abd9c132a0e6cf10ffcf7dbe6fa6ab77404a90a2b9da8,False
335281,275,11.14389090909091,1.0,True,39356eb9245bc5c3cdae8208202d1075d77b4e26ef7b1249b89e8c8dc9aad0bf,False
335283,275,85.5930181818182,1.0,True,98104c736c5efb341128b0268a74d8f4c8e04819f0861e2867dcad1039f7e190,False
335284,275,69.1832,1.0,True,29fe3483b38905ecd97017324a0ea7034f67da5edcc7262210f4e278c99c8752,False
335285,275,0.0,1.0,True,f8e284b9dc56d7805681b3bc1210b65902728426c278531e326ed573a17135b3,False
335286,275,214.32763636363634,1.0,True,d6b56c3429c6e25774b30c1ed430c888949a4f74dcd69dc11bfe84f8836017c6,False
335287,275,10.962727272727273,1.0,True,3fe4d800b7e17f71c2d4065cabab8b5576c84b843aa735eddd196cd47d19eabf,False
335288,275,59.69101818181818,1.0,True,bd5b3fd99f74eca5aec8b1706b88439f92a673b7080948c4e5eab35c05a95443,False
335289,275,0.0,1.0,True,879a4f8b3af49a369dface8bb3b8ac44bca33c6dcf45f4c94e355968783d3c81,False
335290,275,21.58909090909091,1.0,True,6d76097b17a6a17ba6104355c15a80ee5fa1343e81227ffa3658cbf77162feca,False
335291,275,580.9618181818182,1.0,True,04e08082fe62515d7753088b25c8581c492013d39c850b678276df748bc1a026,True
335292,275,112.16476363636365,1.0,True,67e5266cb3539742fbd660c73c30ff1772993e432d449bbb33e0e3642e071587,False
335294,275,67.66392727272728,1.0,True,55d35cdd0587301c73aa86d159a9d4bd99e5605b769f961312771c975a3ee1af,False
335296,275,4.795454545454546,1.0,True,90206fa231ef5b20c9c59ecc4e85c31896d492fd35fd78c0b2199edf545214a3,False
335297,275,7.914618181818182,1.0,True,3021375d082459103fde404b64bd1cca2d9c79c7d0c03a137b6d7110f05bd125,False
335299,275,11.994254545454545,1.0,True,d870b06308b32db2516a095250135f7401544db9ca3ce150f5537ed1a409c61f,False
335300,183,16.426010928961748,0.6654545454545454,False,86d2cac95f5529ca87df94d04175e9c59cd6391d9df206813a01346f8ce5e455,False
335301,275,26.726363636363637,1.0,True,83a2c1d8c9fbd3d5d6725d314b4ce48a1f7bd758502cbb30c1ab4e1db05d9d91,False
335306,275,34.484545454545454,1.0,True,bf7da696c2d58a1a8aff26652c84eeea4a909b0b8701f26386176bfc9615ba74,False
335308,275,0.0,1.0,True,d0bd98a792caea5a24f3c6be749697b9995248c4e1ef8668fca93ad7bb5dab15,False
335309,275,20.385454545454547,1.0,True,d33324130459e6a8a4603f37af3db9dd665f6b6960b91997e39dec17bc1f8ce3,False
335310,275,254.10145454545452,1.0,True,60ad787659e3b2d52c3a27ac13ce283aa8b49e8016d4fb0a1f1a230c0df5c560,False
335311,184,0.0,0.6690909090909091,False,07482dd34afd354d6bc4e3a4fb07ed26918184e5a682e557efd649692c38e19e,False
335312,275,27.270254545454545,1.0,True,49fcdf7abe2e0fde7b6cf3e98e57b554991b08d081147be997e73357d57b8c26,False
335313,275,3.4709090909090907,1.0,True,f2a1bc0766a5332c59f93883f094104fd54528c4a4be4e34a9db1a8afe5eae16,False
335314,275,0.24629090909090912,1.0,True,22971c2d7e04941945ff3c06505183ef66a038c85ad08cfd47b324b32f46e256,False
335316,275,0.0,1.0,True,626d7b68a83a5486561a606667dd2b427d0056d4895432317c6e10ae0e7c7bee,False
335317,275,337.17963636363635,1.0,True,f2557bacdbb8a5230e3f1d048cf8c83615310770f7dba0058efc83457d3b6616,False
335320,275,27.23,1.0,True,edc3807bec44a773fae0f8de2a7808542a7805d8f77c57008939103f547eb04d,False
335321,275,368.0288,1.0,True,889887002eeb85defa8442f1a70ba88fdb60a629b593203b460840a7daa7d35e,False
335322,275,6.303636363636364,1.0,True,a8924082f8c2b589f0f052738bb7a844ce397f76ab79119254e5c2b5bd999aea,False
335323,275,0.0,1.0,True,0b40c82ae6514662a4a04e26189185517f60c38633cfe5bd8a1338dcec3ac7c4,True
335325,275,1.920909090909091,1.0,True,be070cf89a3e046b55a7a866db7f5797dccc98c2e69c46e2bbe229d7d5f6d191,False
335326,275,0.0,1.0,True,82af7320ebc77d81f1ec2a2fe42b59795c41a22c10acdbd9c95cde216e3c24c9,False
335327,275,0.0,1.0,True,522897acf8e50520c4121c7dfdc59e390c9b01931e1cc1da1bd161c7447a0924,False
335328,275,281.3308727272727,1.0,True,2a470f039247d37ab41a0bedc221f856516bb9e3955f36417fb2e03b58deabb6,False
335330,275,20.38,1.0,True,71e70099739b942d257c913d4e59e65c51b9b251316abef6167b95801a063db9,False
335331,275,46.015454545454546,1.0,True,910fc87f093cfc11437eb6cea7a63f45e5ae291803c7f00fd7a40fdb2a78d731,False
335332,275,65.88705454545455,1.0,True,b3aa5efb8de514e6841840e765a9b5ec41e5f4223ee1f7c7b9589e24fe576506,False
335333,275,12.726363636363637,1.0,True,450729bf08e654dcd33263b746ffeae7532e83df3f297b86c3e5559288518477,False
335334,275,45.48309090909091,1.0,True,9e3088dec308e197a29d6cc8adfec368d1f83bd559e6d8cac606692cf8fdb5c5,False
335336,275,37.63985454545454,1.0,True,fa8d2026617b90cd0ce8adb0e20307ad237903993e3da5b1c7e3899143e455d0,False
335337,275,9.818181818181818,1.0,True,61682e5dd2b00278fad8f8b24d088989e3e2412c91c9c7ea20af66a7d94d4023,False
335338,275,257.49927272727274,1.0,True,bbfa392cc622be4b3859c201780ebb3c81ec986f8dca00d8a99b6dcb351d1f62,False
335339,275,0.0,1.0,True,c7c1c725ce51df8d19f01339d64339f75a9407f30f4e74409c924d4e0132cd78,False
335340,275,50.59,1.0,True,ae97c3654293279a9bd19a7a94808f0d372128cd7f6868c5217ca74019ebb11d,False
335341,275,0.0,1.0,True,88499f2b6b0ecf1ef1b8f56729ddcd9c772312a9b64ff37995e91fa453e1934b,False
335342,275,16.64090909090909,1.0,True,2a57faab2be3bff48e2c5e0d00c38a149a72e31af52b5d478c5c6f89e23defdd,False
335344,275,17.770836363636363,1.0,True,a1923d0ce08356659dda7fc32bf667ace4675429363dfb566dc079a0221aebfe,False
335345,275,0.0,1.0,True,371d46d872476b23e74e03ecedd532f9b185d3508346e8e370ca90499a46c397,False
335346,275,0.0,1.0,True,701f9c83e926c9051136818370e4232552be235e106a39501467761af31d8760,False
335347,275,82.16018181818181,1.0,True,7dc3740546bec14784921da220692fc77493432dad0e3dcd1d1e44316ca3703a,False
335349,275,399.46090909090907,1.0,True,6de579fdd8bc35fed4c46e82448606e21ebf8e2daadb70011dc5234ba379065c,False
335350,275,20.94272727272727,1.0,True,d126e60968b39904556008e1bc35e41082ac3af3c48042ee2bf66c6c1516e32c,False
335351,275,10.915745454545455,1.0,True,293127d61dcb583fb3d3315ce1daf3d1bc4f8ef886a1a4caf44f89b3c580fbdb,False
335353,275,20.97567272727273,1.0,True,16be1728dab1ef9c71320056fdc28bbb33849d0c5e460e58004a02edb248e5a3,True
335357,275,91.45360000000001,1.0,True,f042f8a8bfeb4cd4a5b795a08c169ad3c4a2e45cbc28b818910c153521dc9097,False
335358,275,37.870436363636365,1.0,True,e142ea9b336965184a326b61c7db4f0a4a0c0df7e0c87f7e0b993468659db2f6,False
335361,275,57.0916,1.0,True,f9bfccb369c253df59f4dbfb37ab0a6cf00c6acd8bd8672b1b7147df6cb560d7,False
335363,275,408.57807272727274,1.0,True,541d41b2502f6156465d3e9cc81dbb646ce219b42febfe31ef76ea74ac0d41d4,False
335364,275,17.476727272727274,1.0,True,9953893976db922f234d07083f6d254ad19c9593d3a4d3fb26b1b5824ace1966,False
335365,275,16.69818181818182,1.0,True,525de17db58398122eadd71a0d2375f1f4a238006645832715676c3b53780fe6,False
335366,275,0.0,1.0,True,39c2fe6307b401d056716e8f4c6477bf2d22a076135b6699e44bd9280dd14264,False
335369,275,0.05912727272727272,1.0,True,9f566ddecd55877ca16de93d875ab0d1d938b1d6c0e904c6f06c9d4e58bb7f5b,False
335371,275,30.27141818181818,1.0,True,fec101b53a6becaf2d6802318c3250d7c02cca4b2cad50bf5c159468e5e4ddca,False
335372,275,296.4103272727273,1.0,True,10d48260ab24170590b0e1d5f3813d006ddfdf17992cd11a24f3b2a6a2cad031,True
335373,275,187.64865454545455,1.0,True,b9a2af846d4964cec35abe90f667430bde932b0d870cdbe6dc0f47143612e79a,False
335374,275,47.85909090909091,1.0,True,63b1f4e8e09d2373731d07cc5e5a2e8dc181ced636b6a9eb7b16c8333e970142,False
335375,275,0.0,1.0,True,91ae03a9cb772da01559c502959044342c4735be72f7c6604cab2060b61777f2,False
335376,275,0.0,1.0,True,bf3925873441543362115b853a3305bc106da70b23ee4f6bbe3148fbb0a46551,False
335377,275,20.804654545454543,1.0,True,8732fde1f491bfaf297c2011ee81f0caf57ba7aa88238444a587c55310bdb497,False
335378,275,4.242218181818181,1.0,True,e72cd7e488b9aa0c1466ff11688f58d9362ca1aed71ed5d7f41b7d3f0d772eb8,False
335379,275,220.70818181818183,1.0,True,b1710811907783958cf2a12f670bd7bbb91eb3036518b1f084d00331f8cbcce0,False
335380,275,15.351818181818182,1.0,True,97909e5e31253c50376b49a789e5e8418c46ed2e63bd953e73ecf5cc07e65b10,False
